Phase,Deliverable,Task_ID,Task_Description,Complexity,Estimated_Hours,Primary_Risk
Deployment,Kafka Topics Configured,DEP-04,Create topic telemetry.raw.v1 with partitions 12 retention 7d and cleanup policy delete,3,2,
Deployment,Kafka Topics Configured,DEP-05,Verify topic configuration and retention behavior,3,2,
Deployment,Ingestion Service Deployed to Staging,DEP-06,Deploy ingestion service container to staging via Coolify with environment configuration and SSL automation,5,4,
Deployment,Ingestion Service Deployed to Staging,DEP-07,Configure service health checks and restart policy in Coolify,4,3,
Deployment,Ingestion Service Deployed to Staging,DEP-08,Run staging smoke test to ingest sample and verify message in Kafka topic,4,3,
Deployment,Observability and Alerts,DEP-09,Configure Prometheus to scrape metrics endpoint for ingestion service,4,3,
Deployment,Observability and Alerts,DEP-10,Configure Prometheus to scrape Redpanda metrics if present locally,4,3,
Deployment,Observability and Alerts,DEP-11,Configure alerts for queue depth high watermark publish failures broker disk above 80 percent broker restarts and reconnect churn,6,6,
Deployment,Production Release,DEP-12,Promote image and configuration to production in Coolify with SSL certificate validation,5,4,
Deployment,Production Release,DEP-13,Apply topic configuration in production environment,3,2,
Deployment,Production Release,DEP-14,Execute production smoke test and validate rollback plan,7,6,Rolled back deployment may leave partial state or downtime
Deployment,Runbook and Documentation,DEP-15,Publish operational runbook for startup and shutdown order backup guidance and incident steps,4,4,
Deployment,Runbook and Documentation,DEP-16,Document consumer replay and time seek instructions for analytics teams,4,3,
Deployment,Runbook and Documentation,DEP-17,Document environment variables and configuration reference,3,3,
Deployment,CI CD Deploy Automation,DEP-18,Add deploy step in CI to trigger Coolify on main after successful tests,4,3,
